age,visit,lag,Disease, RR , L95 , U95 
all,ED,14-day,Total Encounters, 0.95 , 0.91 , 0.99 
all,ED,14-day,Respiratory (all), 1.12 , 1.03 , 1.22 
all,ED,14-day,Asthma, 1.43 , 1.17 , 1.75 
all,ED,14-day,Acute Bronchitis, 1.06 , 0.75 , 1.51 
all,ED,14-day,COPD, 0.99 , 0.70 , 1.40 
all,ED,14-day,Pneumonia, 1.29 , 0.95 , 1.75 
all,ED,14-day,Upper Respiratory Infection, 1.21 , 1.02 , 1.44 
all,ED,14-day,Respiratory Symptoms, 1.13 , 1.02 , 1.25 
all,ED,14-day,Bronchitis (not specified), 0.88 , 0.52 , 1.49 
all,ED,14-day,Cardiovascular (all), 0.94 , 0.78 , 1.13 
all,ED,14-day,Ischemic Heart Disease, 1.40 , 0.92 , 2.11 
all,ED,14-day,Dysrythmia, 0.94 , 0.68 , 1.30 
all,ED,14-day,Chronic Heart Failure, 0.64 , 0.38 , 1.08 
all,ED,14-day,Stroke, 1.00 , 0.66 , 1.52 
all,ED,14-day,Diseases of the Peripheral Circulation, 0.71 , 0.46 , 1.09 
all,Inpatient Hospitalizations,14-day,Total Encounters, 0.95 , 0.90 , 0.99 
all,Inpatient Hospitalizations,14-day,Respiratory (all), 1.01 , 0.91 , 1.12 
all,Inpatient Hospitalizations,14-day,Asthma, 0.92 , 0.67 , 1.28 
all,Inpatient Hospitalizations,14-day,Acute Bronchitis, 1.12 , 0.62 , 2.03 
all,Inpatient Hospitalizations,14-day,COPD, 0.88 , 0.69 , 1.12 
all,Inpatient Hospitalizations,14-day,Pneumonia, 1.14 , 0.93 , 1.39 
all,Inpatient Hospitalizations,14-day,Upper Respiratory Infection, 1.41 , 0.83 , 2.37 
all,Inpatient Hospitalizations,14-day,Respiratory Symptoms, 0.99 , 0.86 , 1.13 
all,Inpatient Hospitalizations,14-day,Bronchitis (not specified),,,
all,Inpatient Hospitalizations,14-day,Cardiovascular (all), 0.93 , 0.82 , 1.04 
all,Inpatient Hospitalizations,14-day,Ischemic Heart Disease, 0.91 , 0.73 , 1.13 
all,Inpatient Hospitalizations,14-day,Dysrythmia, 0.74 , 0.57 , 0.98 
all,Inpatient Hospitalizations,14-day,Chronic Heart Failure, 0.81 , 0.64 , 1.03 
all,Inpatient Hospitalizations,14-day,Stroke, 1.02 , 0.80 , 1.30 
all,Inpatient Hospitalizations,14-day,Diseases of the Peripheral Circulation, 0.94 , 0.73 , 1.21 
all,Doctor's Office and Clinic Visits,14-day,Total Encounters, 0.85 , 0.84 , 0.86 
all,Doctor's Office and Clinic Visits,14-day,Respiratory (all), 1.08 , 1.04 , 1.12 
all,Doctor's Office and Clinic Visits,14-day,Asthma, 1.26 , 1.17 , 1.36 
all,Doctor's Office and Clinic Visits,14-day,Acute Bronchitis, 1.34 , 1.17 , 1.54 
all,Doctor's Office and Clinic Visits,14-day,COPD, 1.11 , 0.98 , 1.27 
all,Doctor's Office and Clinic Visits,14-day,Pneumonia, 1.29 , 1.06 , 1.57 
all,Doctor's Office and Clinic Visits,14-day,Upper Respiratory Infection, 0.98 , 0.93 , 1.03 
all,Doctor's Office and Clinic Visits,14-day,Respiratory Symptoms, 1.06 , 0.97 , 1.15 
all,Doctor's Office and Clinic Visits,14-day,Bronchitis (not specified), 1.33 , 1.06 , 1.68 
all,Doctor's Office and Clinic Visits,14-day,Cardiovascular (all), 0.89 , 0.82 , 0.97 
all,Doctor's Office and Clinic Visits,14-day,Ischemic Heart Disease, 0.89 , 0.76 , 1.03 
all,Doctor's Office and Clinic Visits,14-day,Dysrythmia, 1.05 , 0.88 , 1.26 
all,Doctor's Office and Clinic Visits,14-day,Chronic Heart Failure, 0.85 , 0.71 , 1.02 
all,Doctor's Office and Clinic Visits,14-day,Stroke, 0.90 , 0.72 , 1.14 
all,Doctor's Office and Clinic Visits,14-day,Diseases of the Peripheral Circulation, 0.83 , 0.69 , 1.00 
all,ED,5-day,Total Encounters, 1.00 , 0.94 , 1.07 
all,ED,5-day,Respiratory (all), 1.28 , 1.13 , 1.44 
all,ED,5-day,Asthma, 1.95 , 1.46 , 2.60 
all,ED,5-day,Acute Bronchitis, 1.36 , 0.82 , 2.24 
all,ED,5-day,COPD, 0.97 , 0.55 , 1.68 
all,ED,5-day,Pneumonia, 1.09 , 0.66 , 1.81 
all,ED,5-day,Upper Respiratory Infection, 1.45 , 1.12 , 1.87 
all,ED,5-day,Respiratory Symptoms, 1.27 , 1.10 , 1.48 
all,ED,5-day,Bronchitis (not specified), 1.00 , 0.46 , 2.19 
all,ED,5-day,Cardiovascular (all), 0.91 , 0.68 , 1.22 
all,ED,5-day,Ischemic Heart Disease, 1.09 , 0.54 , 2.19 
all,ED,5-day,Dysrythmia, 0.99 , 0.61 , 1.62 
all,ED,5-day,Chronic Heart Failure, 0.60 , 0.26 , 1.38 
all,ED,5-day,Stroke, 1.07 , 0.55 , 2.06 
all,ED,5-day,Diseases of the Peripheral Circulation, 0.70 , 0.37 , 1.34 
all,Inpatient Hospitalizations,5-day,Total Encounters, 0.90 , 0.84 , 0.97 
all,Inpatient Hospitalizations,5-day,Respiratory (all), 1.08 , 0.92 , 1.26 
all,Inpatient Hospitalizations,5-day,Asthma, 1.35 , 0.90 , 2.03 
all,Inpatient Hospitalizations,5-day,Acute Bronchitis,,,
all,Inpatient Hospitalizations,5-day,COPD, 0.94 , 0.65 , 1.34 
all,Inpatient Hospitalizations,5-day,Pneumonia, 1.13 , 0.83 , 1.54 
all,Inpatient Hospitalizations,5-day,Upper Respiratory Infection,,,
all,Inpatient Hospitalizations,5-day,Respiratory Symptoms, 1.04 , 0.85 , 1.27 
all,Inpatient Hospitalizations,5-day,Bronchitis (not specified),,,
all,Inpatient Hospitalizations,5-day,Cardiovascular (all), 0.94 , 0.78 , 1.12 
all,Inpatient Hospitalizations,5-day,Ischemic Heart Disease, 0.97 , 0.70 , 1.33 
all,Inpatient Hospitalizations,5-day,Dysrythmia, 0.78 , 0.52 , 1.16 
all,Inpatient Hospitalizations,5-day,Chronic Heart Failure, 0.77 , 0.53 , 1.11 
all,Inpatient Hospitalizations,5-day,Stroke, 1.20 , 0.86 , 1.68 
all,Inpatient Hospitalizations,5-day,Diseases of the Peripheral Circulation, 0.90 , 0.61 , 1.32 
all,Doctor's Office and Clinic Visits,5-day,Total Encounters, 0.69 , 0.67 , 0.70 
all,Doctor's Office and Clinic Visits,5-day,Respiratory (all), 0.99 , 0.94 , 1.04 
all,Doctor's Office and Clinic Visits,5-day,Asthma, 1.21 , 1.08 , 1.34 
